,"NYC Borough, Block and Lot (BBL)",Address 1,City,Postcode
1,4-05020-0023,38-20 Bowne Street,Flushing,11354
2,4-00161-0033,43-22,Sunnyside,11104
3,2-02461-0111,1011 Carroll Place,Bronx,10452
4,3-07456-0006,2626 Homecrest Avenue,Brooklyn,11235
5,1-01071-0042,520 W. 43rd St.,New York,10036
6,4-05182-0062,140-25 Ash Avenue,Flushing,11355
7,1-01370-0015,425 East 58th Street,New York,10022
8,4-05182-0062,140-25 Ash Avenue,Flushing,11355
9,2345670001,31 Chamber Street,New York,10007
10,1-01577-7501,520 East 81st Street,New YOrk,10028
11,2-03199-0038,2401 Davdison Avenue,Bronx,10452
12,7000060005;7000500004,99-32 66 Road,Rego Park,11374
13,7000060005,99-32 66 Road,Rego Park,11374
14,7000500004,99-52 66 Road,Rego Park,11374
15,1008867503,127 EAST 30TH STREET,NEW YORK,10016
16,0004-03341-0037,111-45 76 Drive,Queens,11375
17,4-01275-0045,3535 75 ST,Queens,11372
18,4-01272-0012,35-20 73rd Street,Queens,11358
19,4-11421-0013,153rd ave,Queens,11414
20,4-11421-0013,153rd ave,Queens,11414
21,4-05857-0002,Bay Terrrace 1,Flushing,11360
22,4-05863-0002,13-02 212 Street,Queens,11360
23,4-05863-0110,C/O B.L. Management,Flushing,11358
24,4-05865-0040,16-41 212 Street,Queens,11360
25,4-05863-0200,209-15 18th Ave,Queens,11360
26,1-02149-0056,24-36 Laurel Hill Terrace,new york,10036
27,2-05789-0024,3240 Henry Hudson parkway,Bronx,10463
28,3-06512-0001,900 Avenue H,Brooklyn,11230
29,3-06760-0062,1561 E. 13th Street,Brooklyn,11230
30,1-00806-0026,115 West 35th Street,new York,10001
31,3-07674-0047,2016 Avenue N,Brooklyn,11210
32,3-06654-0001,1701 W 3rd Street,Brooklyn,11223
33,3-05927-0024,150-74th Street,Brooklyn,11209
34,4-09845-0001,175-27Wexford terrace,Jamaica,11432
35,3030820065,255 McKibbin Street,Brooklyn,11206
36,1012120110,155 West 81st Street,New York,10024
37,3-00269-0016,61 Schermerhorn Street,Brooklyn,11201
38,1-00564-0031,35 East 12th Street,New York,10003
39,2-05401-7501,3030 Middletown Rd,Bronx,10461
40,1018900064,308 West104,New York,10025
41,4121370020,153-90 Rockway Boulevard,Jamaica,11434
42,3-05328-0023,134 Ocean Parkway,Brooklyn,11218
43,3-05328-0023,134 Ocean Parkway,Brooklyn,11218
44,3-05328-0023,134 Ocean Parkway,Brooklyn,11218
