ID,Address,City,State,Zip Code,Census Tract,BBL
1,38-20 Bowne Street,Flushing,NY,11354,36081086500,4-05020-0023
2,43-22,Sunnyside,NY,11104,0,4-00161-0033
3,1011 Carroll Place,Bronx,NY,10452,36005018301,2-02461-0111
4,2626 Homecrest Avenue,Brooklyn,NY,11235,36047060600,3-07456-0006
5,520 W. 43rd St.,New York,NY,10036,36061012901,1-01071-0042
6,140-25 Ash Avenue,Flushing,NY,11355,36081085700,4-05182-0062
7,425 East 58th Street,New York,NY,10022,36061010601,1-01370-0015
8,140-25 Ash Avenue,Flushing,NY,11355,36081085700,4-05182-0062
9,31 Chamber Street,New York,NY,10007,0,2345670001
10,520 East 81st Street,New YOrk,NY,10028,36061013602,1-01577-7501
11,2401 Davdison Avenue,Bronx,NY,10452,36005025300,2-03199-0038
12,99-32 66 Road,Rego Park,NY,11374,36081071304,7000060005;7000500004
13,99-32 66 Road,Rego Park,NY,11374,36081071304,7000060005
14,99-52 66 Road,Rego Park,NY,11374,36081071304,7000500004
15,127 EAST 30TH STREET,NEW YORK,NY,10016,36061007200,1008867503
16,111-45 76 Drive,Queens,NY,11375,36081076902,0004-03341-0037
17,3535 75 ST,Queens,NY,11372,0,4-01275-0045
18,35-20 73rd Street,Queens,NY,11358,0,4-01272-0012
19,153rd ave,Queens,NY,11414,0,4-11421-0013
20,153rd ave,Queens,NY,11414,0,4-11421-0013
21,Bay Terrrace 1,Flushing,NY,11360,0,4-05857-0002
22,13-02 212 Street,Queens,NY,11360,36081099704,4-05863-0002
23,C/O B.L. Management,Flushing,NY,11358,0,4-05863-0110
24,16-41 212 Street,Queens,NY,11360,36081099704,4-05865-0040
25,209-15 18th Ave,Queens,NY,11360,36081099704,4-05863-0200
26,24-36 Laurel Hill Terrace,new york,NY,10036,36061026700,1-02149-0056
27,3240 Henry Hudson parkway,Bronx,NY,10463,36005029700,2-05789-0024
28,900 Avenue H,Brooklyn,NY,11230,36047045600,3-06512-0001
29,1561 E. 13th Street,Brooklyn,NY,11230,36047054200,3-06760-0062
30,115 West 35th Street,new York,NY,10001,36061010900,1-00806-0026
31,2016 Avenue N,Brooklyn,NY,11210,36047054600,3-07674-0047
32,1701 W 3rd Street,Brooklyn,NY,11223,36047041200,3-06654-0001
33,150-74th Street,Brooklyn,NY,11209,0,3-05927-0024
34,175-27Wexford terrace,Jamaica,NY,11432,0,4-09845-0001
35,255 McKibbin Street,Brooklyn,NY,11206,36047048500,3030820065
36,155 West 81st Street,New York,NY,10024,36061016500,1012120110
37,61 Schermerhorn Street,Brooklyn,NY,11201,36047000900,3-00269-0016
38,35 East 12th Street,New York,NY,10003,36061006100,1-00564-0031
39,3030 Middletown Rd,Bronx,NY,10461,36005026400,2-05401-7501
40,308 West104,New York,NY,10025,0,1018900064
41,153-90 Rockway Boulevard,Jamaica,NY,11434,36081029400,4121370020
42,134 Ocean Parkway,Brooklyn,NY,11218,36047050002,3-05328-0023
43,134 Ocean Parkway,Brooklyn,NY,11218,36047050002,3-05328-0023
44,134 Ocean Parkway,Brooklyn,NY,11218,36047050002,3-05328-0023
45,1775 East 18th Street,Brooklyn,NY,11229,36047055200,3-06801-0056
46,1775 East 18th Street,Brooklyn,NY,11229,36047055200,3-06801-0056
47,1775 East 18th Street,Brooklyn,NY,11229,36047055200,3-06801-0056
48,145 West 96th Street,New York,NY,10025,36061018100,1018510005
49,939 Eigth Avenue,New York,NY,10019,0,1010460036
50,26-24 21st Street,Astoria,NY,11102,36081008300,4-00885-0001
51,35 Central Park North,New York,NY,10026,36061018600,1-01594-0012
52,127 EAST 30TH STREET,NEW YORK,NY,10016,36061007200,1008867503
53,441-451 West End Avenue,New York,NY,10024,36061016700,1-01244-0072
54,1864 85 st.,brooklyn,NY,11214,36047027800,3-06344-0033
55,21 Bennett Av.,New York,NY,10033,36061027100,1-02180-0096
56,31 Bennett Ave.,New York,NY,10033,36061027100,1-02180-0098
57,41 Bennett Ave.,New York,NY,10033,36061027100,1-02180-0100
58,21 East 10th street,New York,NY,10003,36061006100,1005680024
59,740 West End Avenue,New York,NY,10025,36061018300,1018680001
60,1072 Woodycrest Ave,Bronx,NY,10452,36005019300,2-02509-0006
61,1173 Nelson Ave,Bronx,NY,10452,36005019900,2-02516-0058
62,85-11 34th Ave.,Jackson Heights,NY,11372,36081028100,4-01433-7501
63,1224 Prospect Avenue,Bronx,NY,10459,36005013100,2-02693-7502
64,2055 Cruger Avenue,Bronx,NY,10462,36005022404,2-04284-0020
65,2055 Cruger Avenue,Bronx,NY,10462,36005022404,2-04284-0020
66,C/O B.L. Management,Flushing,NY,11358,0,4-05863-0060
67,212-02 16th Ave.,Queens,NY,113161,0,4-05865-0030
68,212-19 16th Ave.,Queens,NY,11360,36081099704,4-05857-0110
69,8105 35th Ave,Queens,NY,11372,0,4-01268-0033
70,90-08 32nd Avenue,Queens,NY,11369,36081035100,4-01420-0001
71,900 Broadway,New York,NY,10003,0,1-00848-0061
72,106 & 114 West 143rd Street,New York,NY,10030,0,1-02011-0038
73,777/783 Fox Street,Bronx,NY,10455,36005008500,2-02707-0068
74,1421/1425 Grand Concourse,Bronx,NY,10452,36005022300,2-02833-0020
75,159 E 30 Street,New York,NY,10016,36061007200,1-00886-7502
76,27-10 Astoria Blvd,Astoria,NY,11102,0,4-00573-0046
77,417 Brightwater Court,Brooklyn,NY,11235,36047036002,3086880035
78,8201 Bay Parkway,Brooklyn,NY,11724,36047029600,0
79,2753 Ocean Avenue,Brooklyn,NY,11229,36047059403,0
80,417 Brightwater Court,Brooklyn,NY,11235,36047036002,3-08688-0035
81,8201 Bay Parkway,Brooklyn,NY,11214,36047029600,3-06319-0006
82,2753 Ocean Avenue,Brooklyn,NY,11229,36047059403,3-07405-0058
83,840 East 8th Street,Brooklyn,NY,11230,36047045800,3-06510-0001
84,26-24 21st Street,Astoria,NY,11102,36081008300,4-00885-0001
85,60 west 57th street,New York,NY,10019,36061011201,1-01272-0001
86,15 East 10th Street,New York,NY,10003,36061006100,1-00568-0025
87,1815 Grand Concourse,Bronx,NY,10453,36005022701,2-02826-0072
88,360 East 72nd Street,New York,NY,10021,36061012601,1-01446-0023
89,380 EAST 18 ST,Brooklyn,NY,11226,36047051400,3-05160-0001
90,3857 Kings Hgwy,Brooklyn,NY,11234,36047073600,3-07819-0046
91,777 East 31 St,Brooklyn,NY,11210,36047078601,3-07559-0011
92,140 Clarkson Ave,Brooklyn,NY,11226,36047082200,3-05065-0030
93,150-10 71st Avenue,Queens,NY,11367,36081077906,4-06698-0040
94,150-10 71st Avenue,Queens,NY,11367,36081077906,4-06698-0040
95,917 Ogden Avenue,Bronx,NY,10452,36005018900,0
96,2290 Andrews Avenue,Bronx,NY,10452,0,2-03218-0017
97,408 West 34th Street,New York,NY,10001,36061010300,1-00731-0050
98,165 West 83rd Street,New York,NY,10025,36061016900,1-01214-0008
99,1000 Targee Street,Staten Island,NY,10304,36085005000,5-03168-0161
100,141-18 CHERRY AVENUE,Flushing,NY,11355,36081085900,4-05193-7506
101,198-39 32nd Avenue,Flushing,NY,11358,36081108500,6021;29
102,34-01 Parsons Blvd,Flushing,NY,11354,36081115900,4995;14
103,1836 east 18 street,Brooklyn,NY,11229,36047055800,3068210222
104,508 West 112th Street,New York,NY,10025,0,1-01883-0040
105,929 West End Avenue,New York,NY,10025,36061019100,1-01891-0055
106,51 Buchanan Place,Bronx,NY,10452,36005025100,2-03208-0048
107,99-32 66 Road,Rego Park,NY,11374,36081071304,7000060005
108,59 KENT ST,BROOKLYN,NY,11222,36047056500,0
109,198-39 32nd Avenue,Flushing,NY,11358,36081108500,0
110,34-01 Parsons Blvd,Flushing,NY,11354,36081115900,0
111,43-22,Sunnyside,NY,11104,0,4-00161-0033
112,165 West 83rd Street,New York,NY,10025,36061016900,1-01214-0008
113,917 Ogden Avenue,Bronx,NY,10452,36005018900,2-02524-0021
114,740 West End Avenue,New York,NY,10025,36061018300,1-01868-0001
115,155 West 81st Street,New York,NY,10024,36061016500,1012120110
116,501 East 74th Street,NEW YORK,NY,10021,36061013201,1014860001
117,501 East 74th Street,NEW YORK,NY,10021,36061013201,1014860001
118,501 East 74th Street,NEW YORK,NY,10021,36061013201,1014860001
119,501 East 74th Street,NEW YORK,NY,10021,36061013201,1014860001
120,135-17 Northern Blvd.,Flushing,NY,11354,36081086900,4-04958-7502
121,421 Degraw,Brooklyn,NY,11231,0,3-00416-0017
122,111-45 76 Drive,Queens,NY,11375,36081076902,4-03341-0037
123,40-50 Brighton 1st Road,Brooklyn,NY,11235,36047036001,3-08680-0001
124,8201 Bay Parkway,Brooklyn,NY,11214,36047029600,3-06319-0006
125,10-40 Waterside Plaza,New York,NY,10010,36061006200,1-00991-0060
126,1864 85 st.,brooklyn,NY,11214,36047027800,3-06344-0033
127,31 Bennett Ave.,New York,NY,10033,36061027100,1-02180-0098
128,105 West 55 St.,New York,NY,10019,36061013700,1-01008-0026
129,365 West End Ave.,New York,NY,10024,36061016300,1-01186-0025
130,60 Nagle Avenue,New York,NY,10040,36061028500,1021720060
131,153 West 27th St,New York,NY,10001,36061009500,1-00803-0007
132,345 West 14th Street,New York,NY,10014,36061008300,1-00738-7504
133,56-11 94TH ST,QUEENS,NY,11373,36081068300,4019020039
134,40-40 79TH ST,QUEENS,NY,11373,0,4014890018
135,461 CENTRAL PARK WEST,NEW YORK,NY,10025,36061019300,1018420029
136,34-44 77th Street,Queens,NY,11372,36081028700,4012630015
137,145 EAST 27TH STREET,New York,NY,10016,36061006800,1008830044
138,120 East 34th Street,New York,NY,10016,36061007200,1008890068
139,200 East 33rd  Street,New York,NY,10016,36061007002,1009130001
140,300 Mercer,New York,NY,10003,36061005700,1005480070
141,229 West 60th Street,New York,NY,10023,36061014700,1011520013
142,400 EAST 66TH STREET,NEW YOUR,NY,10065,36061011600,1014600047
143,108 EAST 96TH S,NEW YORK,NY,10128,0,1015247502
144,530 Second Avenue,New York,NY,10016,36061007001,0
145,315 East 21st Street,New York,NY,10010,36061006400,0
146,127 West 26th Street,New York,NY,10001,36061009500,1-00802-0022
147,400 East 55th Street,New York,NY,10017,36061010601,1-01366-0047
148,524 Riverside Drive,New York,NY,10027,36061021100,1-01994-0038
149,640 West 42nd Street,New York,NY,10036,36061011700,1-01089-0001
150,606/610/620 W 42nd st,New York,NY,10036,0,1-01089-7502
151,601 W41st St,New York,NY,10036,0,1-01089-7501
152,606/610/620 W 42nd st,New York,NY,10036,0,1-01089-7502
153,P.O. Box 290 523,Brooklyn,NY,112290523,0,3-05979-0046
154,1141-61 Jerome Avenue,Bronx,NY,10452,36005019900,2025050064
155,1710 Montgomery Avenue,Bronx,NY,10453,36005021501,2028780120
156,1730 Montgomery Avenue,Bronx,NY,10453,36005021501,2028780126
157,1750 Montgomery Avenue,Bronx,NY,10453,36005021501,2028780132
158,288 Crown Street,Brooklyn,NY,11225,36047031900,3012970006
159,307 Sterling Street,Brooklyn,NY,11225,36047032900,3013160001
160,853 Empire Blvd.,Brooklyn,NY,11213,36047035500,3014240063
161,660 Empire Boulevard,Brooklyn,NY,11213,36047033100,0
162,540 East 22 Street,Brooklyn,NY,11226,36047051601,0
163,1165 Shakespeare Avenue,Bronx,NY,10452,36005019900,0
164,1224 Walton Avenue,Bronx,NY,10452,36005019700,0
165,250 N 10th St,Brooklyn,NY,11211,36047051900,3023070001
166,P.O. Box 290 523,Brooklyn,NY,112290523,0,3-07405-0052
167,1902 East 18th Street,Brooklyn,NY,11229,36047055800,3-07296-005
168,225 Foster Ave,Brooklyn,NY,11230,36047048000,3-05426-0045
169,9205 Ridge Blvd.,Brooklyn,NY,11209,36047005800,3-06102-006
170,1781 East 18th Street,Brooklyn,NY,11229,36047055200,0
171,105 East 177th Street,Bronx,NY,10453,36005023301,2-02806-0001
172,89-11 153 Street,Jamaica,NY,11432,36081024000,4-09755-0006
173,1680 OCEAN AVE.,Brooklyn,NY,11230,36047076000,3067300001
