10001,160 SO. 2ND. ST.,BROOKLYN,NY,11211
10002,201 Roebling Street,Brooklyn,NY,11211
10003,1670 East 174th Street,Bronx,NY,10472
10004,1590 UNDERCLIFF AVE,Bronx,NY,10453
10005,1454 GRAND CONCOURSE,Bronx,NY,10457
10006,2290 DAVIDSON AVE,Bronx,NY,10468
10007,2200 MORRIS AVE,Bronx,NY,10453
10008,2344 Davidson Avenue,Bronx,NY,10468
10009,1208-1212 WESTCHESTER AVE,Bronx,NY,10459
10010,3320 KOSSUTH AVE,bronx,NY,10467
10011,1173-1175 WALTON AVE,Bronx,NY,10452
10012,1097-1099 WALTON AVE,Bronx,NY,10452
10013,1881 MORRIS AVE,Bronx,NY,10453
10014,1453-55 Walton Avenue,Bronx,NY,10452
10015,1230 EAST TREMONT AVENUE,Bronx,NY,10469
10016,1420-36 CLAY AVENUE,Bronx,NY,10456
10017,1196 Eastern Parkway,Brooklyn,NY,11213
10018,1420-36 CLAY AVENUE,Bronx,NY,10456
10019,1420-36 CLAY AVENUE,Bronx,NY,10456
10020,1691 East 174th Street,Bronx,NY,10472
10021,1690 East 174th Street,Bronx,NY,10472
10022,250 EAST 96TH STREET,BROOKLYN,NY,11212
10023,324 MONTGOMERY STREET,BROOKLYN,NY,11225
10024,340 MAPLE STREET,BROOKLYN,NY,11225
10025,351 EAST 21ST STREET,BROOKLYN,NY,11226
10026,473 EAST 92ND STREET,BROOKLYN,NY,11212
10027,1384 CARROLL STREET,BROOKLYN,NY,11213
10028,117-121 Jefferson Ave.,Brooklyn,NY,11216
10029,600 West 58th,Manhattan,NY,10019
10030,174 Pacific Street,Brooklyn,NY,11201
10031,3200 Decatur Ave,Bronx,NY,10467
10032,2722 Valentine Ave,Bronx,NY,10458
10033,79 West 182nd Street,Bronx,NY,10453
10034,1183 Grand Concourse,Bronx,NY,10452
10035,2111 ALBEMARLE RD,Brooklyn,NY,11226
10036,107-02 Merrick Blvd,Queens,NY,11433
10037,125 Ocean Parkway,Brooklyn,NY,11218
10038,86-02 208 St,Queens Village,NY,11427
10039,215 W 83 Street,Manhattan,NY,10024
10040,206-10 86 Road,Queens Village,NY,11427
10041,209-30 86 Drive,Queens Village,NY,11427
10042,209-31 86 Drive,Queens Village,NY,11427
10043,10015 4th Ave,Brooklyn,NY,11209
10044,1820 East 13th Street,Brooklyn,NY,11229
10045,1 74th Street,Brooklyn,NY,11209
10046,34-35 76th Street,Jackson Heights,NY,11372
10047,34-31 81st Street,Jackson Heights,NY,11372
10048,1412 Ocean Avenue,Brooklyn,NY,11230
10049,3033 Brighton 14th Street,Brooklyn,NY,11235
10050,66-20 108th Street,Forest Hills,NY,11375
10051,1725 Emmons Avenue,Brooklyn,NY,11235
10052,545 West 236th Street,Riverdale,NY,10463
10053,1665 East 7th Street,Brooklyn,NY,11230
10054,1225 Avenue R,Brooklyn,NY,11229
10055,1685 Ocean Avenue,Brooklyn,NY,11230
10056,103-11 68th Drive,Forest Hills,NY,11375
10057,120 Ocean Parkway,Brooklyn,NY,11218
10058,112-41 72nd Road,Forest Hills,NY,11375
10059,1850 Ocean Pkwy,Brooklyn,NY,11223
10060,25-29 West Tremont,Bronx,NY,10453
10061,215 -217 Bush Street,bronx,NY,10457
10062,35-28 99th St,Queens,NY,11368
10063,309 E 164 Street,Bronx,NY,10456
10064,"75 W Mosholu Pkwy N,","Bronx, NY",NY,10467
10065,320 West 56th Street,Manhattan,NY,10019
10066,1170 WALTON AVENUE,Bronx,NY,10452
10067,112 TUDOR PLACE,Bronx,NY,10452
10068,1176 WALTON AVENUE,Bronx,NY,10452
10069,111 Tudor Place Bronx,New York,NY,10452
10070,29-33 Avenue B,New Yok,NY,10009
10071,310 W 47 St,New York,NY,10036
10072,425-429 West 46th Street,New Yok,NY,10036
10073,M Rapaport: 2710 Webb Ave,Bronx,NY,10468
10074,2857 Sedgwick Ave,Bronx,NY,10468
10075,865 West End Ave,New York,NY,10025
10076,8904 34 Ave,Queens,NY,11372
10077,144-27 35th Avenue,Queens,NY,11354
10078,42-02 Kissena Boulevard,New York,NY,11355
10079,"144-31 41st Avenue,",Queens,NY,11355
10080,144-15 41st Avenue,Queens,NY,11355
10081,39-20 Greenpoint Avenue,Queens,NY,11104
10082,36-08 29th Street,Queens,NY,11106
10083,579 Broadway,New York,NY,10012
10084,43-08 41st St,Queens,NY,11104
10085,1720 E 13th St,Brooklyn,NY,11229
10086,2939 Avenue Y,Brooklyn,NY,11235
10087,40 Lincoln Rd,Brooklyn,NY,11225
10088,805 Ditmas Ave,Brooklyn,NY,11218
10089,1060 Ocean Ave,Brooklyn,NY,11226
10090,1463 Ocean Ave,Brooklyn,NY,11230
10091,1086 Ocean Ave,Brooklyn,NY,11230
10092,128 Linden Blvd,Brooklyn,NY,11226
10093,2302 85th St,Brooklyn,NY,11214
10094,2302 85th St,Brooklyn,NY,11218
10095,420 Avenue F,Brooklyn,NY,11218
10096,440 E 9th St,Brooklyn,NY,11218
10097,93 Underhill Ave,Brooklyn,NY,11238
10098,76-15 35th Ave,Queens,NY,11372
10099,65-36 Wetherole Street,Queens,NY,11374
10100,35-50 78th Street,Queens,NY,11372
10101,37-27 86th Street,Queens,NY,11372
10102,144-63 35th Ave,Queens,NY,11354
10103,40-18 Hampton Street,Queens,NY,11373
10104,96-11 65th Road,Queens,NY,11374
10105,319 Beach 98th Street,Queens,NY,11694
10106,70 East 8th.Street,brooklyn,NY,11218
10107,1818 ave L,Brooklyn,NY,11219
10108,309 E 164 Street,Bronx,NY,10456
10109,1800 Avenue L,Brooklyn,NY,11230
10110,1013 East 13 Street,Brooklyn,NY,11230
10111,1490 Ocean Avenue,Brooklyn,NY,11230
10112,P.O.Box 190322,Brooklyn,NY,11219
10113,1800 Avenue L,Brooklyn,NY,11230
10114,144 East 24th Street,New York,NY,10010
10115,66 AINSLIE ST,BROOKLYN,NY,11211
10116,101 East 10th Street,New York,NY,10003
10117,150 West 82nd Street,New York,NY,10024
10118,120 Riverside Drive,New York,NY,10024
10119,34-01 28 AVENUE,Queens,NY,11103
10120,25-81 34 STREET,Queens,NY,11103
10121,28-46 41 STREET,Queens,NY,11103
10122,31-33 90 STREET,Queens,NY,11369
10123,31-21 90 Street,Queens,NY,11369
10124,42-15 34 AVENUE,Queens,NY,11101
10125,31-45 Crescent Street,Queens,NY,11106
10126,310 East Second Street,New York,NY,10009
10127,802 Kings Highway,Brooklyn,NY,11223
10128,64 05  53 DR,Maspeth,NY,11378
10129,1022 East 36th Street,Brooklyn,NY,11210
10130,"75 W Mosholu Pkwy N,","Bronx, NY",NY,10467
10131,215 W 83 Street,Manhattan,NY,10024
10132,320 West 56th Street,Manhattan,NY,10019
10133,1170 WALTON AVENUE,Bronx,NY,10452
10134,112 TUDOR PLACE,Bronx,NY,10452
10135,1176 WALTON AVENUE,Bronx,NY,10452
10136,111 Tudor Place Bronx,New York,NY,10452
10137,29-33 Avenue B,New Yok,NY,10009
10138,310 W 47 St,New York,NY,10036
10139,425-429 West 46th Street,New Yok,NY,10036
10140,309 E 164 Street,Bronx,NY,10456
10141,"75 W Mosholu Pkwy N,","Bronx, NY",NY,10467
10142,215 W 83 Street,Manhattan,NY,10024
10143,320 West 56th Street,Manhattan,NY,10019
10144,1170 WALTON AVENUE,Bronx,NY,10452
10145,112 TUDOR PLACE,Bronx,NY,10452
10146,111 Tudor Place Bronx,New York,NY,10452
10147,29-33 Avenue B,New Yok,NY,10009
10148,310 W 47 St,New York,NY,10036
10149,425-429 West 46th Street,New Yok,NY,10036
10150,309 E 164 Street,Bronx,NY,10456
10151,"75 W Mosholu Pkwy N,","Bronx, NY",NY,10467
10152,215 W 83 Street,Manhattan,NY,10024
10153,320 West 56th Street,Manhattan,NY,10019
10154,112 TUDOR PLACE,Bronx,NY,10452
10155,1176 WALTON AVENUE,Bronx,NY,10452
10156,111 Tudor Place Bronx,New York,NY,10452
10157,119 Tudor PLACE Bronx,New York,NY,10452
10158,29-33 Avenue B,New Yok,NY,10009
10159,310 W 47 St,New York,NY,10036
10160,425-429 West 46th Street,New Yok,NY,10036
10161,230 East 44th Street,New York,NY,10017
10162,300 East 46th Street,New York,NY,10017
10163,500 Ft. Washington Avenue,New York,NY,10033
10164,712 West 176th Street,New York,NY,10033
10165,234 Union Avenue,Brooklyn,NY,11206
10166,2844 Eighth Avenue,New York,NY,10039
10167,2890 Eighth Avenue,New York,NY,10039
10168,2855 Eighth Avenue,New York,NY,10039
10169,41-19 41ST STREET,SUNNYSIDE,NY,11104
10170,66 E Tremont Ave,Bronx,NY,10453
10171,866 E 178 Street,Bronx,NY,10460
10172,407 E 160 street,bronx,NY,10451
10173,180 Claremont Ave,New York,NY,10027
10174,305 East 95th Street,New York,NY,10128
10175,1574 56th St,Brooklyn,NY,11219
10176,185 Marcy Ave,Brooklyn,NY,11211
10177,440 Audubon Ave,New Yok,NY,10040
10178,61 W 106th St,New York,NY,10025
10179,730 Riverside Drive,New York,NY,10031
10180,2334 Tiebout Ave,Bronx,NY,10458
10181,1398 Grand Concourse,Bronx,NY,10456
10182,123 Elliot Pl,Bronx,NY,10452
10183,135 Elliot Pl,Bronx,NY,10452
10184,1924 University Ave,Bronx,NY,10453
10185,522 W 136th St,New York,NY,10031
10186,"582 ST NICHOLAS AVENUE,",NEW YORK,NY,10030
10187,175 Hawthorne St,Brooklyn,NY,11225
10188,"265 Lafayette St,",New York,NY,10012
10189,35 TENNIS COURT,BROOKLYN,NY,11226
10190,1400 OCEAN AVENUE,Rooklyn,NY,11230
10191,612 OCEAN AVENUE,BROOKLYN,NY,11226
10192,25 TENNIS COURT,Brooklyn,NY,11226
10193,635 Riverside Drive,New York,NY,10031
10194,475 Ocean Ave,Brooklyn,NY,11226
10195,1834 Caton Ave,Brooklyn,NY,11226
10196,990 President St,Brooklyn,NY,11225
10197,66 W 77th St,New York,NY,10024
10198,237 Lafayette St,New York,NY,10012
10199,139 Spring St,New York,NY,10012
10200,426 Broome St,New York,NY,10013
10201,9921 4th Avenue,Brooklyn,NY,11209
10202,672-684 45th St,Brooklyn,NY,11220
10203,1620 E 2 Street,Brooklyn,NY,11230
10204,7814 4th Ave,Brooklyn,NY,11209
10205,8701 Ridge Blvd,Brooklyn,NY,11209
10206,52-05 39th Road,Woodside,NY,11377
10207,601 79th Steet,Brooklyn,NY,11209
10208,80 Avenue P,Brooklyn,NY,11204
10209,88-12 Elmhurst Avenue,Elmhurst,NY,11373
10210,7609 4th Avenue,Brooklyn,NY,11209
10211,7802 4th Ave,Brooklyn,NY,11209
10212,243 78th Street,Brooklyn,NY,11209
10213,9801 Shore Road,Brooklyn,NY,11209
10214,2665 Homecrest Avenue,Brooklyn,NY,11235
10215,525 Ocean Parkway,Brooklyn,NY,11218
10216,1345 4th Street,Brooklyn,NY,11230
10217,2580 Ocean Parkway,Brooklyn,NY,11235
10218,8847 Bay 16th Street,Brooklyn,NY,11214
10219,2330 Voorhies Avenue,Brooklyn,NY,11235
10220,8718 Ridge Blvd,Brooklyn,NY,11209
10221,134-30 Franklin Ave,Queens,NY,11355
10222,134-30 Franklin Ave,Queens,NY,11355
10223,3132 Emmons Ave,Brooklyn,NY,11235
10224,159 Gelston Ave,Brooklyn,NY,11209
10225,390 Rugby Rd,Brooklyn,NY,11226
10226,452 Park Pl,Brooklyn,NY,11238
10227,570 Ocean Pkwy,Brooklyn,NY,11218
10228,680 81 St,Brooklyn,NY,11228
10229,7913 Bay Pkwy,Brooklyn,NY,11214
10230,209 W 125th St,New York,NY,10027
10231,961 Southern Blvd,Bronx,NY,10459
10232,1040 Carroll Street,Brooklyn,NY,11225
10233,200 E 8th St,Brooklyn,NY,11218
10234,2015 ST PAUL AVENUE,Bronx,NY,10461
10235,8420 51 AVENUE,Queens,NY,11373
10236,151 East 80th Street,New York,NY,10021
10237,920 Riverside Drive,New York,NY,10024
10238,628 West 151st Street,New York,NY,10031
10239,330 West 58th Street,New York,NY,10019
10240,1160 5th Avenue,New York,NY,10029
10241,2175 Cedar Avenue,Bronx,NY,10468
10242,2121 Cedar Avenue,Bronx,NY,10468
10243,2101 Cedar Avenue,Bronx,NY,10468
10244,1700 Grand Concourse,Bronx,NY,10457
10245,1981-1995 Sedgwick Avenue,Bronx,NY,10453
10246,939 Woodycrest Avenue,Bronx,NY,10452
10247,930 Sheridan Avenue,Bronx,NY,10452
10248,2400 Webb Avenue,Bronx,NY,10468
10249,20-02 thru 20-12 Seagirt Blvd,Far Rockaway,NY,11691
10250,20-16 thru 20-34 Seagirt Blvd,Far Rockaway,NY,11691
10251,20-38 thru 20-50 Seagirt Blvd,Far Rockaway,NY,11691
10252,20-41 thru 20-45 Seagirt Blvd,Far Rockaway,NY,11691
10253,20-33 thru 20-39 Seagirt Blvd,Far Rockaway,NY,11691
10254,146 Beach 24th Street,Far Rockaway,NY,11691
10255,2160-2166 Matthews Ave,Bronx,NY,10462
10256,1135 Pelham Pkwy North,Bronx,NY,10469
10257,1770 Grand Concourse,Bronx,NY,10457
10258,1540 Pelham Pkwy S,Bronx,NY,10461
10259,1130 Pelham Pkwy S,Bronx,NY,10461
10260,623 Broadway,New York,NY,10012
10261,114 West 183rd Street,Bronx,NY,10453
10262,1475 Wythe Place,Bronx,NY,10452
10263,1192-96 Nelson Ave,Bronx,NY,10452
10264,15 Marcy Place,Bronx,NY,10452
10265,1500 Popham Ave,Bronx,NY,10453
10266,1684-86 Grand Concourse,Bronx,NY,10457
10267,1815 Monroe Ave,Bronx,NY,10457
10268,1860 Grand Concourse,Bronx,NY,10457
10269,1878 Harrison Ave,Bronx,NY,10453
10270,1930 Anthony Ave,Bronx,NY,10457
10271,35 East 176th Street,Bronx,NY,10453
10272,840 Grand Concourse,Bronx,NY,10451
10273,2033 Valentine Ave,Bronx,NY,10457
10274,2492 Devoe Terrace,Bronx,NY,10468
10275,150 Brielle Avenue,Staten Island,NY,10314
10276,250 PARK AVENUE,Staten Island,NY,10302
