,"NYC Borough, Block and Lot (BBL)",Address 1,City,Postcode
1,1-01008-7503,156 West 56th Street,New York,10019
2,1-01089-0001,640 West 42nd Street,New York,10036
3,1013127501,115 East 57th Street,New York,10022
4,1010287501,1775 Broadway & 235 W 56th St,New York,10019
5,1-00016-7517,70 Little West Street,New York,10004
6,1-00016-0185,211NEA,New York,10282
7,1-00016-0185,211NEA,New York,10282
8,1-00016-0180,20 River Terrace,New York,10282
9,1-00016-0180,20 River Terrace,New York,10282
10,1-00826-0001,77 W 24th Street,New York,10010
11,1-00826-0001,77 W 24th Street,New York,10010
12,1-00866-7502,30 East 37th Street,New York,10016
13,1008750047,32 Gramercy Park South,New York,10003
14,1015290045,200 East 84th Street,New York,10028
15,1006030037,111 Barrow Street,New York,10014
16,1005550028,115 East 9th Street,New York,10003
17,1013690002,411 East 57th Street,New York,10022
18,1-01323-0015,235 East 49th Street,New York,10017
19,1012340007,257 West 86th Street,New York,10024
20,1014950004,1025 Fifth Avenue,New York,10028
21,1013227501,249 East 48th Street,New York,10017
22,1005620040,35 East 10th Street,New York,10003
23,1013690007,419 East 57th Street,New York,10022
24,1011257502,27 West 72nd Street,New York,10023
25,1-01303-7501,145 East 48th Street,New York,10017
26,1013657501,411 East 53rd Street,New York,10022
27,1-01495-7501,25 East 83rd Street,New York,10028
28,1013740069,785 Fifth Avenue,New York,10022
29,1014247501,233 East 69th Street,New York,10021
30,1-01390-7502,32 East 76th Street,New York,10021
31,1006090001,175 West 13th Street,New York,10011
32,1014870039,520 East 76th Street,New York,10021
33,1008927501,150 East 37th Street,New York,10016
34,1-01378-0048,32 East 64th Street,New York,10065
35,1008670033,50 Park Avenue,New York,10016
36,1-01510-0030,163 East 81st Street,New York,10028
37,1015320022,250 East 87th Street,New York,10028
38,1014027501,1160 Third Avenue,New York,10035
39,1015000045,50 East 89th Street,New York,10128
40,1015440019,345 East 81st Street,New York,10028
41,1015070040,1230 Park Avenue,New York,10128
42,1-01368-0025,2 Sutton Place South,New York,10022
43,1018900001,300 Riverside Drive,New York,10025
44,1013630020,455 East 51st Street,New York,10022
45,1-01519-0008,115 East 90th Street,New York,10128
46,1013120069,475 Park Avenue,New York,10022
47,1015110069,975 Park Avenue,New York,10028
48,1013367501,303 East 43rd Street,New York,10017
49,1014970041,1036 Park Avenue,New York,10028
50,1-00560-7501,30 East 9th Street,New York,10003
51,1014097502,130 East 75th Street,New York,10021
52,1014270034,220 East 73rd Street,New York,10021
53,1014280009,215 East 73rd Street,New York,10021
54,1008420007,7 East 14th Street,New York,10003
55,1008770030,44 Gramercy Park North,New York,10010
56,1015117501,129 East 82nd Street,New York,10028
57,1008947501,77 Park Avenue,New York,10016
58,4022380001,110-45 Queens Boulevard,New York,11375
59,1008170085,54 West 16th Street,New York,10011
60,2024580090,800 Grand Concourse,Bronx,10451
61,1010460038,310 West 56th Street,New York,10019
62,1014830038,520 East 72nd Street,New York,10021
63,1-01602-0060,12 East 97th Street,New York,10029
64,1-01403-0033,150 E 69th Street,New York,10065
65,1-01139-7503,111 W 67th St,New York,10024
66,2-02867-0108,1740 Grand avenue,Bronx,10456
67,2-03100-0001,795 Garden Street,Bronx,10460
68,2-02614-0061,595 E. 167th Street,Bronx,10456
69,2-02985-0038,1956 Crotona Parkway,Bronx,10460
70,2-02486-0025,1025 Gerard Avenue,Bronx,10452
71,2-02486-0030,1015 Gerard Avenue,Bronx,10452
72,1-00835-0015,35-39 West 33rd Street,New York,10001
73,1011717505,100 Riverside Boulevard,New York,10069
74,1000787507,59 John Street,New York,10038
75,1-01548-7502,305 East 85th Street,New York,10024
76,1012477502,535 West End Avenue,New York,10028
77,1-00838-7501,400 Fifth Avenue,New York,10018
78,1011717507,80 Riverside Boulevard,New York,10069
79,1-01202-0036,285 Central Park West,New York,10024
80,1006187504,122 Greenwich Avenue,New York,10011
81,1002287502,311 West Broadway,New York,10013
82,3023637501,80 Metropolitan Avenue,Brooklyn,11211
83,1-01509-0020,151 East 80th Street,New York,10021
84,1-02136-0210,920 Riverside Drive,New York,10024
85,1-02097-0040,628 West 151st Street,New York,10031
86,1-01048-0020,330 West 58th Street,New York,10019
87,1-01603-0001,1160 5th Avenue,New York,10029
88,1014920049,1067 Madison Avenue,New York,10028
89,2033200013,26 Bedford Park Blvd.,Bronx,10468
90,1013960071,555 Park Ave,New York,10065
91,2-02447-0001,1010 Sherman Avenue,Bronx,10456
92,1-02202-0009,420 West 206th Street,New York,10034
93,1007957502,130 West 20th Street,New York,10011
94,1012337501,530 West End Avenue,New York,10024
95,1-01425-0001,200 East 71st Street,New York,10021
96,1-00749-0024,312 8th Ave,New York,10001
97,2-03233-0070,2175 Cedar Avenue,Bronx,10468
98,2-03233-0082,2121 Cedar Avenue,Bronx,10468
99,2-03233-0090,2101 Cedar Avenue,Bronx,10468
100,2-02823-0046,1700 Grand Concourse,Bronx,10457
101,2-03230-0016,1981-1995 Sedgwick Avenue,Bronx,10453
102,2-02511-0022,939 Woodycrest Avenue,Bronx,10452
103,2-02454-0019,930 Sheridan Avenue,Bronx,10452
104,2-03219-0055,2400 Webb Avenue,Bronx,10468
105,4-15780-0100,"20 SEAGIRT BLVD, 20 04",Far Rockaway,11691
106,4-15780-0020,"20 SEAGIRT BLVD, 20-26",Far Rockaway,11691
107,4158100001,"20 SEAGIRT BLVD, 20-46",Far Rockaway,11691
108,4-15815-0220,"20 SEAGIRT BLVD, 20-23",Far Rockaway,11691
109,4-15810-0071,"20 SEAGIRT BLVD, 20-35",Far Rockaway,11691
110,4-15815-0071,146 Beach 24th Street,Far Rockaway,11691
111,1-00604-0033,666 GREENWICH STREET,NEW YORK,10014
112,1-00641-0017,379 WEST 12TH STREET,NEW YORK,10014
113,1006420004; 1006420012,108-114 HORATIO STREET,NEW YORK,10014
114,1-01062-0019,410 WEST 53RD STREET,NEW YORK,10019
115,1-00016-0210,41 RIVER TERRACE,NEW YORK,10282
116,4-00021-0060,47-05 CENTER BOULEVARD,LONG ISLAND CITY,11109
117,1-00075-0001,127 JOHN STREET,NEW YORK,10038
118,2-02975-0013,1238 Simpson St,bronx,10459
119,3000277501,1 Main Street,Brooklyn,11201
120,2-03154-0040,2527 Valentine Ave,Bronx,10461
121,2033420001,3162 Bainbridge Ave,Bronx,10461
122,2-02869-0009,1820 Harrison Street,Bronx,10461
123,2025320043,1307 Merriam Ave,Bronx,10452
124,2-02457-0040,1266-68 Grand Concourse,Bronx,10461
125,5000050057,33 CENTRAL AVE,STATEN ISLAND,10301
126,1019237501,257 West 117th Street,New York,10026
127,4000307501,509 48th Avenue,Long Island City,11101
128,1-00819-7502,63 West 17th Street,New York,10011
129,1014920069,995 Fifth Avenue,New York,10028
130,1-00559-7501,110 Third Avenue,New York,10003
131,1-01602-7502,21 East 96th Street,New York,10029
132,1-01379-7504,838 Fifth Avenue,New York,10065
133,1013500020,345 East 57th Street,New York,10022
134,1-01330-7501,212 East 57th Street,New York,10022
135,1004747506,40 Mercer Street,New York,10013
136,1014130004,891 Park Avenue,New York,10075
137,1014100033,177 E. 75th Street,New York,10021
138,1021390578,824 West 176th Street,New York,10033
139,1021390537,2 South Pinehurst Avenue,New York,10033
140,1012100055,150 West 80th Street,New York,10024
141,1021800480,4411 Broadway,New York,10040
142,1014447501,301 East 69th Street,New York,10021
143,1-01525-0021,239 East 79th Street,New York,10075
144,4014450034,84-09 35th Avenue,Jackson heights,11372
145,2-02387-0032,1085 Washington Avenue,Bronx,10456
146,2-02387-0032,1085 Washington Avenue,Bronx,10456
147,3-01059-0061,209 Lincoln Place,Brooklyn,11218
148,2-03311-7501,3130 Grand Concourse,Bronx,10458
149,1-02250-0054,25 Indian Road,New York,10034
150,1-01232-0037,202-214 West 85th St.,New York,10024
151,1-00892-0020,288 Lexington Ave.,New York,10016
152,1-00890-0049,166 East 35th St.,New York,10016
153,1-02246-0110,1825 Riverside Drive,New York,10034
154,3-01071-0014,130 8th Avenue,Brooklyn,11215
155,2-05950-0406,5410 Netherland Ave.,Riverdale,10471
156,1-00775-0022,225 West 25th St.,New York,10001
157,4021390026,68-64 Yellowstone Blvd,Forest Hills,11375
158,3-05374-0041,402 Ocean Pkwy,Brooklyn,11218
159,1-01399-0074,605 Park Avenue,New York,10065
160,1-01199-0036,257 Central Park West,New York,10024
161,1-01377-7502,The Leonori Condominium,New York,10065
162,3051610033,1801 Dorchester Road,Brooklyn,11226
163,1011717502,220 Riverside Boulevard,New York,10069
164,1011717502,220 Riverside Boulevard,New York,10069
165,1011717503,240 Riverside Blvd,New York,10069
166,1011717503,240 Riverside Blvd,New York,10069
167,1-01503-7501,47 East 91st Street,New York,10128
168,1-01381-7504,Chez 66 Condominium,New York,10065
169,1-00775-0060,236 West 26th Street,New York,10001
170,1007730012,255 West 23rd Street,New  York,10011
171,1007730012,255 West 23rd Street,New  York,10011
172,1022220035,110 Post Avenue,New York,10034
173,3-08717-0029,150 Brighton 15 St,Brooklyn,11235
174,1-00773-0012,250 West 24th Street,New York,10011
175,1-00773-0012,250 West 24th Street,New York,10011
176,1-00095-0027,49 Fulton Street,New York,100381836
177,2-02478-0007,1068 Gerard Avenue,Bronx,10452
178,2-03216-0052,2001 University Avenue,Bronx,10453
179,2-02878-0090,1669-75 University Avenue,Bronx,10453
180,2-02876-0194,1647-55 Macombs Road,Bronx,10453
181,2-02877-0233,1491 Montgomery Avenue,Bronx,10453
182,2-02878-0044,120 West 176th St,Bronx,10453
183,2-02878-0044,1665 Andrews Avenue,Bronx,10453
184,2-02878-0005,1472 Montgomery Avenue,Bronx,10453
185,1-00412-0053,188 Ludlow St,New York,10002
186,3051560021,400 Rugby Road,Brooklyn,11226
187,3052400017,1170 Ocean Ave,Brooklyn,11230
188,3067610075,1535 East 14th Street,Brooklyn,11230
189,3-06767-0080,2011 Ocean Ave,Brooklyn,11230
190,3-07219-0015,2510 Ocean Pkwy,Brooklyn,11235
191,1-02174-0077,1 Arden Street,New York,10040
192,1-02174-0077,1 Arden Street,New York,10040
193,2-03933-0070,2112 Starling Ave,Bronx,10462
194,2-03933-0070,2112 Starling Ave,Bronx,10462
195,2-03805-0043,1265-1269 Olmstead Ave,Bronx,10462
196,2-03814-0001,1266-1268 Olmstead Ave,Bronx,10462
197,2-04087-0033,1541-1551 Williamsbridge Rd.,New York,10461
198,1-02142-0001,250 Fort Washington Ave,New York,10032
199,1-02057-0039,260 Convent Ave,New York,10031
200,1-02142-0089,280 Fort Washington Ave,New York,10032
201,3-08716-0064,3085 Brighton 13 St,Brooklyn,11235
202,1-01969-0040,41-47 St. Nicholas Terrace,New York,10027
203,1-02142-0058,647-651 West 171st Street,New York,10032
204,2-03344-0005,3510 Bainbridge Avenue,Bronx,10467
205,2-02801-0001,1840 Grand Concourse,Bronx,10457
206,2-03316-0013,2690 Morris Avenue,Bronx,10468
207,2-03259-0001,2805 Heath Avenue,Bronx,10463
208,1-01054-0056,449 West 44th Street,New York,10036
209,2-03335-0110,155-165 East Mosholu Parkway North,Bronx,10467
210,1-01229-0008,251 West 81st St. aka 2261 Broadway,New York,10024
211,3051020063,2111 ALBEMARLE RD,Brooklyn,11226
212,3050810015,100 East 21rst Street,Brooklyn,11226
213,3061000028,28 Marine Avenue,Brooklyn,11209
214,5005930590,107 ARLO RD ENT,Staten Island,10301
215,5005930590,107 ARLO RD ENT,Staten Island,10301
216,4084890001,270-10 Grand Central Parkway,Floral Park,11005
217,4084890001,270-10 Grand Central Parkway,Floral Park,11005
218,1-01465-0001,400 East 71st Street,New York,10021
219,1-00945-7501,300 East 40th Street,New York,10016
220,1-02107-0072,929-935 Saint Nicholas Avenue,New York,10032
221,4050460020,41-10 BOWNE ST 1ENT,Queens,11355
222,4050460020,41-10 BOWNE ST 1ENT,Queens,11355
223,4099370025,178-60 WEXFORD TERR HOBM,Queens,11432
224,4099370025,178-60 WEXFORD TERR HOBM,Queens,11432
225,4099370001,178-10 WEXFORD TERR ENTM,Queens,11432
226,4099370001,178-10 WEXFORD TERR ENTM,Queens,11432
227,4097730005,162-15 Highland Ave,Queens,11432
228,4097730005,162-15 Highland Ave,Queens,11432
229,4099500009,182-30 WEXFORD TERR PLPM,Queen,11432
230,4099500009,182-30 WEXFORD TERR PLPM,Queen,11432
231,4098490130,166-05 HIGHLAND AVE PLP,Queens,11432
232,4098490130,166-05 HIGHLAND AVE PLP,Queens,11432
233,4050490006,143-06 BARCLAY AVE ENTM,Queens,11355
234,4050490006,143-06 BARCLAY AVE ENTM,Queens,11355
235,4050480001,143-09 BARCLAY AVE,Queens,11355
236,4050480001,143-09 BARCLAY AVE,Queens,11355
237,3051550017,394 ARGYLE RD HCM,Brooklyn,11218
238,3051550017,394 ARGYLE RD HCM,Brooklyn,11218
239,3051550050,405 WESTMINSTER RD HCM,Brooklyn,11218
240,3051550050,405 WESTMINSTER RD HCM,Brooklyn,11218
241,3073090040,3291 NOSTRAND AVE,Brooklyn,11229
242,3073090040,3291 NOSTRAND AVE,Brooklyn,11229
243,3073090040,3315 NOSTRAND AVE PLPM,Brooklyn,11229
244,3073090040,3315 NOSTRAND AVE PLPM,Brooklyn,11229
245,3073080032,3280- 3310 NOSTRAND AVENUE,Brooklyn,11229
246,3073080032,3280- 3310 NOSTRAND AVENUE,Brooklyn,11229
247,3073080032,3310 NOSTRAND AVE PLPM,Brooklyn,11229
248,3064680016,1429 SHORE PKWY,Brooklyn,11214
249,3064680016,1429 SHORE PKWY,Brooklyn,11214
250,3064680016,1445 SHORE PKWY PLPM,Brooklyn,11214
251,3064680016,1445 SHORE PKWY PLPM,Brooklyn,11214
252,3064680016,1461 SHORE PKWY PLPM,Brooklyn,11214
253,3064680016,1461 SHORE PKWY PLPM,Brooklyn,11214
254,3074330013,1230 Ave Y,Brooklyn,11235
255,3074330013,1230 Ave Y,Brooklyn,11235
256,3072740020,2940 Ocean Parkway,Brooklyn,11235
257,3072740020,2940 Ocean Parkway,Brooklyn,11235
258,3072740035,3000 Ocean Parkway,Brooklyn,11235
259,3072740035,3000 Ocean Parkway,Brooklyn,11235
260,1-01162-7501,240 West End Ave,New York,10023
261,4099450048,86-75 MIDLAND PKWY ENTM,Queens,11432
262,4099450048,86-75 MIDLAND PKWY ENTM,Queens,11432
