BBL,RentRegulated
2023787501,1
2023800051,1
2026200006,1
2026200007,1
2023670026,1
2023670025,1
2026200022,1
2023650029,1
2023650026,1
2023650025,1
2023650020,1
2023290087,1
2023290083,1
2023290082,1
2023290072,1
2023970003,1
2023970005,1
2023970006,1
2023970007,1
2023970009,1
2024110045,1
2023980008,1
2023990006,1
2024110139,1
2024110137,1
2024110137,1
2024010004,1
2024010007,1
2024040007,1
2024040008,1
2024197501,1
2024077501,1
2024090096,1
2023337501,1
2023347501,1
2023347501,1
2023290053,1
2023260025,1
2023260026,1
2023290093,1
2023260028,1
2023290092,1
2023290083,1
2023300059,1
2023290160,1
2023290163,1
2023300051,1
2023520053,1
2023470001,1
2023300015,1
2024100001,1
2023310015,1
2023310018,1
2024100063,1
2024100062,1
2024100060,1
2024100052,1
2023480015,1
2023480053,1
2024100018,1
2024100028,1
2024110142,1
2024820001,1
2024740001,1
2023790007,1
2023790032,1
2023780019,1
2024180033,1
2023790007,1
2023640045,1
2024180008,1
2024180009,1
2024180033,1
2024050009,1
2024050013,1
2023800048,1
2024190013,1
2023820037,1
2023810051,1
2024600030,1
2024080001,1
2024070016,1
2023827502,1
2023830039,1
2023650020,1
2023660022,1
2023667501,1
2023660037,1
2024600010,1
2024610040,1
2024210014,1
2024217501,1
2024220054,1
2024220052,1
2024220050,1
2024220048,1
2024210022,1
2024210024,1
2024210027,1
2024080033,1
2024080052,1
2024080017,1
2023830005,1
2023830015,1
2023830016,1
2024610016,1
2024540026,1
2024460001,1
2024460037,1
2024220010,1
2024220016,1
2024220026,1
2024230054,1
2024230084,1
2023670001,1
2023670011,1
2023670017,1
2023670020,1
2023790026,1
2023790026,1
2023810045,1
2023827501,1
2023510025,1
2023510050,1
2024730001,1
2024730012,1
2024730048,1
2024820040,1
2024730043,1
2024820030,1
2024830023,1
2024830015,1
2024830059,1
2024830053,1
2023430010,1
2023430012,1
2024580016,1
2024580025,1
2024580026,1
2024580072,1
2024580080,1
2024580085,1
2024580090,1
2024590001,1
2024590030,1
2024590034,1
2024610001,1
2024610007,1
2024610045,1
